time	V(highside)	V(highside)-V(out)	V(lowside)	V(out)
1.379055983862691e-09	1.435015e-08	6.795275e-11	4.139172e-11	1.428220e-08
1.379056111862691e-09	1.436160e-08	6.439826e-11	4.468154e-11	1.429720e-08
1.379056143862691e-09	1.433207e-08	7.256951e-11	3.641746e-11	1.425950e-08
1.379056207862691e-09	1.431804e-08	7.673329e-11	3.242813e-11	1.424130e-08
1.379056335862691e-09	1.439125e-08	5.676437e-11	5.285730e-11	1.433449e-08
1.379056591862691e-09	1.432988e-08	7.398793e-11	3.562907e-11	1.425589e-08
1.379057103862691e-09	1.424415e-08	9.775913e-11	1.163187e-11	1.414639e-08
1.379058127862691e-09	1.431221e-08	7.843237e-11	3.080038e-11	1.423377e-08
1.379060175862691e-09	1.439982e-08	5.378897e-11	5.541579e-11	1.434603e-08
1.379064271862691e-09	1.442230e-08	4.756551e-11	6.170416e-11	1.437474e-08
1.379072463862691e-09	1.431282e-08	7.824230e-11	3.097245e-11	1.423458e-08
1.379072719862691e-09	1.435142e-08	6.755396e-11	4.177935e-11	1.428387e-08
1.379072783862691e-09	1.441262e-08	5.084200e-11	5.885958e-11	1.436178e-08
1.379072911862691e-09	1.450165e-08	2.660006e-11	8.368908e-11	1.447505e-08
1.379073167862691e-09	1.442591e-08	4.723599e-11	6.256042e-11	1.437867e-08
1.379073679862691e-09	1.424762e-08	9.683188e-11	1.260628e-11	1.415079e-08
1.379073807862692e-09	1.429861e-08	8.268408e-11	2.688815e-11	1.421593e-08
1.379074063862691e-09	1.444899e-08	4.052136e-11	6.909774e-11	1.440847e-08
1.379074575862692e-09	1.442840e-08	4.606537e-11	6.336712e-11	1.438233e-08
1.379075599862692e-09	1.430862e-08	7.957013e-11	2.976958e-11	1.422905e-08
1.379075855862691e-09	1.425329e-08	9.500756e-11	1.426076e-11	1.415829e-08
1.379076367862692e-09	1.419144e-08	1.121565e-10	-3.045298e-12	1.407929e-08
1.379077391862692e-09	1.430370e-08	8.047163e-11	2.852376e-11	1.422323e-08
1.379079439862691e-09	1.441348e-08	4.963674e-11	5.935557e-11	1.436385e-08
1.379083535862692e-09	1.442009e-08	4.792966e-11	6.117200e-11	1.437216e-08
1.379084559862692e-09	1.442853e-08	4.557599e-11	6.353533e-11	1.438296e-08
1.379086607862691e-09	1.444105e-08	4.215472e-11	6.702138e-11	1.439890e-08
1.379090703862692e-09	1.442281e-08	4.756995e-11	6.182241e-11	1.437524e-08
1.379091727862692e-09	1.442486e-08	4.704326e-11	6.238223e-11	1.437781e-08
1.379093775862691e-09	1.443135e-08	4.530598e-11	6.418013e-11	1.438604e-08
1.379097871862692e-09	1.442670e-08	4.682388e-11	6.281862e-11	1.437988e-08
1.379098895862692e-09	1.398222e-08	1.705596e-10	-6.175047e-11	1.381166e-08
1.379098927862692e-09	1.381323e-08	2.177467e-10	-1.091386e-10	1.359549e-08
1.379098991862692e-09	1.367137e-08	2.577698e-10	-1.490077e-10	1.341360e-08
1.379099119862692e-09	1.413170e-08	1.300018e-10	-2.007614e-11	1.400170e-08
1.379099375862692e-09	1.432862e-08	7.474643e-11	3.521147e-11	1.425388e-08
1.379099887862692e-09	1.425134e-08	9.565859e-11	1.369143e-11	1.415568e-08
1.379100911862692e-09	1.433593e-08	7.182432e-11	3.747101e-11	1.426410e-08
1.379102959862692e-09	1.441047e-08	5.092282e-11	5.839838e-11	1.435955e-08
1.379103471862692e-09	1.440283e-08	5.313172e-11	5.623983e-11	1.434970e-08
1.379104495862692e-09	1.439522e-08	5.537260e-11	5.408148e-11	1.433985e-08
