in s,C1 in V
-2.9656560E-03,2.33154E+01
-2.9656096E-03,2.33154E+01
-2.9655632E-03,2.34131E+01
-2.9655168E-03,2.34131E+01
-2.9654704E-03,2.34619E+01
-2.9654240E-03,2.34131E+01
-2.9653776E-03,2.34131E+01
-2.9653312E-03,2.34131E+01
-2.9652848E-03,2.32666E+01
-2.9652384E-03,2.34619E+01
-2.9651920E-03,2.34131E+01
-2.9651456E-03,2.35596E+01
-2.9650992E-03,2.34131E+01
-2.9650528E-03,2.33154E+01
-2.9650064E-03,2.33643E+01
-2.9649600E-03,2.34131E+01
-2.9649136E-03,2.34131E+01
-2.9648672E-03,2.35107E+01
-2.9648208E-03,2.34131E+01
-2.9647744E-03,2.33643E+01
-2.9647280E-03,2.35596E+01
-2.9646816E-03,2.35107E+01
-2.9646352E-03,2.34619E+01
-2.9645888E-03,2.34131E+01
-2.9645424E-03,2.33154E+01
-2.9644960E-03,2.34131E+01
-2.9644496E-03,2.32666E+01
-2.9644032E-03,2.34619E+01
-2.9643568E-03,2.35107E+01
-2.9643104E-03,2.34131E+01
-2.9642640E-03,2.34131E+01
-2.9642176E-03,2.33643E+01
-2.9641712E-03,2.34131E+01
-2.9641248E-03,2.33643E+01
-2.9640784E-03,2.34131E+01
